id,Car,Color,Model,Origin
JH4KB16527C499743,Honda,Pink,Civic Si,SI
1FMEU6FE1AU382803,Cadillac,Yellow,Seville,RU
WAUML44E75N372531,Mitsubishi,Goldenrod,Pajero,RU
1N6AD0CU1BC503526,Infiniti,Teal,G,BR
SCBFH7ZA7FC453307,Land Rover,Goldenrod,LR2,ID
2CTALMEC6B6400052,Mercury,Puce,Sable,PH
19UYA42533A333700,Dodge,Maroon,Ram 1500 Club,US
WBAWB33557P651782,Volkswagen,Turquoise,R32,PT
WAUHF98P79A477813,Nissan,Mauv,Pathfinder,ID
JTJBM7FX4C5185488,Hyundai,Green,Elantra,BY
KMHCT4AE6CU576402,Porsche,Indigo,Boxster,UA
WAUSF98K69A029458,Honda,Aquamarine,CR-V,SE
1G6DR57V180422847,Chevrolet,Khaki,Avalanche,PH
WAULT68E05A169196,Lexus,Indigo,GS,PT
5N1AN0NW4DN850284,Mitsubishi,Aquamarine,Mirage,CN
1G6KS54Y43U539544,Toyota,Aquamarine,Highlander,JP
1B3CB3HA3BD536136,Nissan,Crimson,Pathfinder,ID
WAUGL98E28A192597,Chevrolet,Green,Metro,US
19UUA66267A235843,Pontiac,Indigo,Bonneville,GB
WBANU53538C506217,Volkswagen,Aquamarine,Passat,RU
WAUXL58E25A905891,Audi,Indigo,S6,SE
1G6DV1EP2B0592943,Jeep,Green,Cherokee,VN
2FMDK4GC0AB561035,Acura,Green,Legend,CN
1C4RJEAG8CC828734,Chevrolet,Green,Corvette,US
3D73Y4CL3BG111844,Nissan,Purple,Pathfinder,PH
1FTWX3B54AE757517,Suzuki,Red,SX4,DO
WP0AB2A89FK083391,Pontiac,Pink,G5,ID
3D73M3CL3BG024502,Pontiac,Blue,Grand Prix,CN
1FTEX1E8XAK446584,Mazda,Orange,929,MK
JN8AF5MR3CT261803,Pontiac,Crimson,Tempest,CL
WA1BY94L48D091329,Ford,Pink,Explorer,RU
WBAAZ33414K263163,Jaguar,Turquoise,XK,PE
1G6AU5S89E0139417,Hyundai,Indigo,Sonata,UA
JTEBW3EH8A2007643,Acura,Goldenrod,NSX,PH
1FMJK1G52DE157777,GMC,Teal,Yukon,PT
1D7RB1GP3AS499589,Pontiac,Purple,Torrent,VE
WBAPM7C52AA335899,Volkswagen,Khaki,Golf,CN
WBAFU7C53BD971601,Pontiac,Red,Firebird,PE
1G4GC5ER8DF392511,Lexus,Violet,IS,SE
JTEBU5JR8F5729961,Nissan,Aquamarine,JUKE,CZ
JH4DC53843S417541,GMC,Pink,Jimmy,CZ
WAUAGAFD0DN353506,Toyota,Fuscia,Ipsum,TM
1G6DC1E35E0802135,Hyundai,Indigo,Elantra,CN
WAUHFAFL0BN339479,Jeep,Crimson,Grand Cherokee,RU
5UXFE83547L411443,Ford,Violet,Festiva,CU
1C3CDZCBXDN162198,Isuzu,Goldenrod,Oasis,AL
1FTEX1C81AF849350,Hyundai,Mauv,Sonata,SV
WUATNAFG9EN321668,Subaru,Red,Forester,ML
1GD11ZCG3DF023611,GMC,Goldenrod,1500 Club Coupe,PE
2C3CDYAGXEH015687,Chevrolet,Fuscia,Traverse,AR
1D7RW2BK0AS861481,Eagle,Red,Talon,PH
WBAUP93568V572789,Ferrari,Red,599 GTB Fiorano,ID
19UUA76607A994125,GMC,Mauv,Sierra 2500,NP
5N1AR2MM0DC400157,Ford,Turquoise,Aspire,RU
1D7RV1GT4AS885250,BMW,Goldenrod,645,NL
KMHFG4JG3CA482367,Buick,Mauv,Riviera,CN
1G6DL1E32D0130498,Chevrolet,Aquamarine,Sportvan G30,ID
WAUEFAFL3DN583326,Lexus,Maroon,SC,CN
4JGDA2EB4DA637019,Volvo,Teal,S80,CN
1N4AL3AP6DC365723,Chevrolet,Fuscia,Corvette,UA
SCFEDCAD9BG251866,Toyota,Violet,Celica,LB
3VW1K7AJ0DM497260,Audi,Khaki,A5,CN
5FPYK1F68EB609349,Toyota,Purple,Tundra,ID
WBADT43471G057431,Mitsubishi,Fuscia,Mirage,TH
W04GN5ECXB1351599,Ford,Violet,Mustang,US
1YVHZ8BH9B5597370,Dodge,Khaki,D350 Club,DE
1N6AA0CC6EN176856,Plymouth,Yellow,Grand Voyager,PT
WBAEU33402P493292,Mitsubishi,Khaki,Diamante,CN
1N4AA5AP4BC152509,Cadillac,Violet,Escalade,SE
1G6AL5S33D0087532,Ford,Orange,Explorer Sport Trac,RU
3C63D3DL4CG635706,Volvo,Puce,XC70,CY
1C3CDZCB8CN446492,Saturn,Violet,Ion,JM
5N1AR2MM6FC605193,Hyundai,Violet,Veracruz,MK
2C4RDGCG2ER166062,GMC,Maroon,Rally Wagon 3500,RU
1G6AY5SX1E0671157,Mercury,Turquoise,Sable,CN
WBAEN33462E178683,Mitsubishi,Mauv,L300,ID
WBAUP7C53DV175409,Volkswagen,Khaki,Tiguan,PT
WAUVT68E74A189100,Maserati,Red,430,AF
WBADR63442G372750,Bugatti,Khaki,Veyron,EC
SCFAD01A86G248076,Land Rover,Red,Defender 90,BR
4T1BF1FK8CU669440,Kia,Orange,Amanti,PL
KMHHT6KD6BU322422,Buick,Orange,Regal,AR
JH4CU4F40CC412777,Mitsubishi,Goldenrod,Truck,BR
3LNDL2L37BR231874,Toyota,Crimson,Yaris,PL
5J6TF3H59FL037708,Audi,Blue,S8,CN
1HGCR6F57EA673167,Oldsmobile,Maroon,88,CN
JM1NC2LFXD0492356,Ford,Purple,Tempo,PH
SCFAB01AX7G146916,Chevrolet,Goldenrod,Camaro,RS
2T1BPRHE8FC603818,Mazda,Aquamarine,B-Series,ID
1B3CB5HA2BD890970,Mitsubishi,Khaki,Mirage,PE
JN1BV7AP5FM009005,Buick,Indigo,LaCrosse,RU
WBAVC53597F307625,Jeep,Purple,Liberty,PR
WAU4FAFL8CA985912,Mercury,Turquoise,Cougar,VE
JTHBE1KS3B0216585,Chevrolet,Purple,Bel Air,BR
WAUDF98E48A819780,Chevrolet,Goldenrod,Suburban 2500,IE
1G4HD5EM9AU416912,GMC,Pink,Sierra 1500,CN
JTEBU5JR1B5437658,Suzuki,Yellow,SX4,KE
WBA3A9C54DF036716,Dodge,Blue,Dakota Club,AR
JM1BL1H39A1540396,Hyundai,Violet,Sonata,LT
2B3CK9CV7AH656181,Mitsubishi,Indigo,Montero Sport,UA
JN8AZ2KR0ET924613,Toyota,Green,Supra,BR
2FMDK4AC3AB756006,Mercury,Crimson,Grand Marquis,FR
WBA4B3C56FG257715,Infiniti,Yellow,G37,PH
WBADR63441G756543,Buick,Puce,Enclave,CN
WAUMFAFL3DA223735,Mercedes-Benz,Mauv,M-Class,ES
JH4CU4F4XAC559802,Jeep,Violet,Grand Cherokee,CN
1FTMF1CW9AF858780,Suzuki,Violet,XL-7,BR
KL4CJFSB5DB525765,Chevrolet,Yellow,Tahoe,CN
3D7TT2HT0BG068835,Maserati,Purple,Biturbo,AM
2LMHJ5AT7CB323177,Buick,Blue,Century,PE
WVWAP7AN3DE039967,Oldsmobile,Puce,Regency,CN
4A4JM2AS2AE060380,Chrysler,Orange,Town & Country,PT
1C4NJPBA5CD670805,Mazda,Yellow,Protege,CN
WA1CMAFE1CD217168,Chevrolet,Puce,Lumina,CZ
WBADS33421G612217,Chevrolet,Yellow,Caprice Classic,JP
1G6DL1ED6B0029972,Buick,Red,Regal,CO
1FTMF1EW3AF834231,Ford,Khaki,Ranger,PL
WAULC58E45A780200,Volkswagen,Teal,Golf,VE
5UXFG4C5XAL381858,Ford,Fuscia,F-Series,MK
4T1BD1FK2CU744834,Ford,Khaki,Contour,UG
1G6DS57V690866621,Subaru,Aquamarine,Forester,KZ
JTMHY7AJ7D4271387,Aston Martin,Yellow,V8 Vantage,PH
1N4AB7AP9DN396382,Land Rover,Orange,Range Rover,CN
WVGAV7AX1BW547199,Chrysler,Red,Concorde,CA
1D4RE5GG5BC132023,Jeep,Purple,Wrangler,UA
WAUKF98E86A192974,Mitsubishi,Orange,Mirage,CN
WAUHF78P67A809063,Mercury,Mauv,Sable,ID
1NXBU4EE0AZ998312,Infiniti,Green,Q,CN
WBAWV53557P050617,GMC,Blue,Sierra,PL
WA1C8BFP4FA996101,Ford,Green,Mustang,PH
WBAPK73549A437612,Suzuki,Red,Sidekick,LV
WBAYB6C53DC166876,BMW,Aquamarine,Z3,CN
WBAYA6C50FD901328,Nissan,Aquamarine,Maxima,PH
JN1AZ4EH4AM994665,Volkswagen,Crimson,Cabriolet,CN
1GD21ZCG4CZ510026,Audi,Fuscia,riolet,RS
JN8AZ2KR5BT859527,Ford,Teal,Festiva,ID
3LNDL2L33CR455905,Lexus,Purple,IS,VN
19UUA56773A669124,Lexus,Khaki,SC,RU
WA1DGAFP7DA890711,Mitsubishi,Maroon,i-MiEV,CN
3VWJX7AJ3AM517272,Toyota,Fuscia,Land Cruiser,SE
1GYEK63N04R743828,Mercury,Orange,Villager,VN
19UUA8F35EA872336,Volkswagen,Turquoise,Golf III,GT
5N1AR2MM6DC990946,Chevrolet,Turquoise,TrailBlazer,BO
WBAKA4C56CC216570,Subaru,Mauv,Alcyone SVX,UA
WBA3V5C53F5494902,Infiniti,Fuscia,G,TN
4T1BF3EK3AU187680,BMW,Khaki,X5 M,UG
KNAGG4A89A5488467,BMW,Pink,7 Series,CN
JN1CV6FE3CM791094,Buick,Red,Terraza,ID
KNAFU6A24D5961613,Audi,Violet,RS6,PH
WBS3R9C58FK750332,Buick,Maroon,Reatta,CN
4USCN33472L576842,Mercedes-Benz,Green,E-Class,MX
3VWML7AJ0EM432646,Mercedes-Benz,Crimson,M-Class,AM
19VDE1F5XFE672992,Mazda,Turquoise,MPV,CN
KNAFU6A23B5065946,Infiniti,Blue,G,CN
1FAHP3CN9AW623712,Nissan,Red,Maxima,PH
2HNYD2H65DH893550,Ford,Pink,Thunderbird,PH
YV1952AS8E1020349,Toyota,Orange,Tacoma,CN
WBANB33534B887187,Plymouth,Blue,Grand Voyager,RU
WAUFFAFM6AA037460,Ford,Yellow,F150,RU
1GYS3PKJ7FR995017,Honda,Maroon,Passport,UA
2G4GS5GX2F9913877,Dodge,Teal,Caravan,CR
WBA3B1C56DK559743,Mercedes-Benz,Khaki,500E,PT
WAUDF48HX7K282810,Nissan,Puce,Maxima,AM
WBA3N3C58EK261599,Jeep,Indigo,Wrangler,US
WA1YD54B54N174469,Pontiac,Puce,GTO,CN
WAUJFAFH4DN956044,BMW,Indigo,X5,ID
1N4AA5AP8DC201519,Kia,Aquamarine,Sephia,PT
1GD11ZCGXCF803314,Maserati,Violet,Biturbo,CN
JN1AJ0HP1BM906966,GMC,Goldenrod,Suburban 2500,UY
1N6AA0CC7EN811373,Saab,Mauv,9000,CN
WDDLJ6FB0FA647853,Hyundai,Pink,Elantra,BR
JH4DC53822C809880,Lotus,Yellow,Exige,RU
WAUYGBFC1CN939903,Toyota,Turquoise,T100 Xtra,CN
JH4DC54892C204768,Chevrolet,Violet,Express 3500,CN
1GYEC63T54R859327,Ford,Indigo,Escort,DE
1G6DM5E3XC0039000,Volkswagen,Blue,Golf,RU
5N1AA0NC3DN307736,Ford,Green,Focus,CN
1GT022CGXEF855436,Isuzu,Goldenrod,Hombre Space,ID
2FMDK3AK5DB383959,Ford,Teal,Club Wagon,CU
1G6DC67A590086447,Dodge,Orange,Grand Caravan,ID
5GNRNHEE3A8727714,Dodge,Teal,Viper,MU
WBA3T3C55FP038978,Mitsubishi,Yellow,Lancer,CY
KNALN4D76E5126433,Chevrolet,Teal,Cobalt SS,CN
1FADP5AU6EL185758,Kia,Aquamarine,Spectra,CN
WAUAFAFL6AA978117,Honda,Crimson,Odyssey,CZ
2D4RN7DG3BR772447,Shelby,Turquoise,GT500,PH
WA1LGBFE7ED593888,Jeep,Crimson,Grand Cherokee,PE
1G4HP54K74U322989,Toyota,Indigo,4Runner,AR
YV1902MM1F1461673,Lotus,Orange,Esprit,PH
3C4PDDBG8ET473580,Buick,Red,Lucerne,CN
JN1AZ4EH7AM208650,Lamborghini,Khaki,Murciélago,CN
1D4PT7GX1AW153215,Volvo,Violet,C70,BA
WAUML44D23N281042,Saab,Aquamarine,9-3,FI
5FPYK1F22EB033495,Hyundai,Indigo,Accent,PL
WBASP4C58CC475365,GMC,Green,2500,PY
1B3AZ6EZ6AV441352,Honda,Red,Civic,CN
1B3AZ6JZ2AV114209,Suzuki,Teal,Swift,PT
5XYZG3AB5CG231401,Ford,Green,Taurus,PS
5UXFG435X8L351642,GMC,Aquamarine,Savana,PH
YV4960DL2A2859698,Volvo,Crimson,850,CN
JHMZE2H38ES423972,Mitsubishi,Mauv,Challenger,SE
1G6DD67V390197398,Pontiac,Mauv,Aztek,SE
WBA3B9C5XDJ237028,BMW,Aquamarine,5 Series,GN
WP0CA2A89ES757484,BMW,Crimson,650,KR
3GYFNBE30FS841886,GMC,Orange,Vandura 2500,CN
WA1LFAFP2DA132550,Mitsubishi,Maroon,Diamante,US
2G4WY55J121329004,GMC,Maroon,Envoy,PT
WVGEG9BP7CD787733,Buick,Maroon,Regal,US
KMHHT6KD3AU065587,BMW,Goldenrod,X5,CN
3C6JD7DP5CG327011,BMW,Yellow,3 Series,CN
2HNYD28817H530670,BMW,Pink,6 Series,RU
JTHBE1BL4FA560628,Buick,Green,Regal,NL
1G4HP52K834424089,Pontiac,Goldenrod,Firebird,BG
WAUCFAFH9DN288850,Pontiac,Khaki,6000,ES
JN1CV6EK0EM683140,Mercury,Maroon,Lynx,CN
SCFBB03C59G774453,Ford,Fuscia,Taurus,CN
WDDEJ7HB5AA424700,Nissan,Fuscia,Sentra,TH
5TDBKRFH4FS048997,Chevrolet,Indigo,1500,CO
5LMJJ2J56EE509326,Mitsubishi,Aquamarine,Pajero,CN
WAUEKAFB6BN900368,Chevrolet,Green,Suburban 2500,NE
WUARL48H09K228326,Lexus,Violet,RX,CN
SCFAB22381K023292,Audi,Blue,A6,PH
1GYS4KEFXDR577362,Subaru,Fuscia,Impreza,US
1G4GC5G35EF101652,Jaguar,Purple,XJ,RU
5N1AN0NW9FN954126,Acura,Yellow,NSX,CN
SCBBB7ZH7CC739246,Kia,Orange,Sedona,BF
WAUBF98E68A239681,Volvo,Red,960,PH
SAJWA4DC3BM404281,Mercedes-Benz,Yellow,S-Class,MX
3D73M4HL3BG479901,Ford,Green,Ranger,SE
2T3BFREV3EW752651,Mercury,Khaki,Grand Marquis,ID
WBAWV53577P369128,Bentley,Fuscia,Continental Flying Spur,CR
KNAFU6A28B5370889,Jaguar,Blue,XF,ID
1GYS4AKJ7FR366867,Ford,Goldenrod,Aerostar,RU
1G6DJ8EV7A0790273,Hyundai,Maroon,Sonata,SE
WAUSH98E96A273783,Hyundai,Aquamarine,Elantra,SE
1G6DM1ED1B0728410,Pontiac,Puce,Firefly,RU
KL4CJBSB5EB284249,Toyota,Mauv,TundraMax,IE
1FADP3E26DL174173,Mercedes-Benz,Goldenrod,W201,PT
2T1KE4EE1CC783085,Mazda,Mauv,MX-5,CO
2FMDK4KC4AB254765,Honda,Indigo,Prelude,ID
WBADX1C5XCE777722,Mazda,Purple,Mazda2,CN
WBAGL63444D855416,Mazda,Yellow,B-Series Plus,BR
1FT7W2A69EE429608,Jeep,Aquamarine,Grand Cherokee,RU
WBA3N3C53FK090181,Volkswagen,Green,New Beetle,CN
JH4CU25699C543593,Ford,Indigo,Crown Victoria,SE
WAUKG94F76N667633,Mitsubishi,Fuscia,Expo,BR
JH4DB766X1S782652,Kia,Aquamarine,Optima,CA
19UUA65686A224412,Chevrolet,Khaki,Traverse,RU
3C6TD5MT6CG962684,Pontiac,Aquamarine,Firebird Formula,CN
WBA5M4C56ED532164,Chevrolet,Mauv,Colorado,PH
WAUXD68D92A195538,Chrysler,Red,Concorde,AF
WBA5A7C55FG102281,Volkswagen,Teal,Passat,CN
SALME1D45CA093160,Buick,Turquoise,Terraza,PS
5FNYF3H26AB239709,Chevrolet,Purple,Corvette,CN
2G4WF551211407231,Porsche,Pink,968,NG
JN1BY0AP5AM045932,Volkswagen,Maroon,R32,ID
1N6AF0LYXFN737574,Jeep,Khaki,Liberty,UA
SCBET9ZA5FC309180,Hyundai,Crimson,Veloster,CN
WBAFR9C55DD390309,Toyota,Yellow,Xtra,CO
1FTEW1CF2FF326900,Mazda,Khaki,Miata MX-5,RU
5GAER23D79J464983,Mazda,Teal,Protege,ID
19UUA56973A812512,Lexus,Khaki,SC,CN
1FTEW1E88AK077758,Mercedes-Benz,Mauv,S-Class,SE
WDDPK5HA6FF527720,Suzuki,Red,Swift,NL
WVGAV7AX4CW209166,Ford,Khaki,Crown Victoria,CN
SAJWA4DC7AM652628,Lexus,Goldenrod,RX,PH
1GT022CGXEF906577,Saab,Green,9-7X,CN
5TDBK3EH8BS024582,Chrysler,Indigo,Cirrus,PE
WAUEKBFB7BN015635,Nissan,Teal,Pathfinder,AR
1G6AD5S35E0727268,MINI,Crimson,Cooper,IR
5J6TF1H36AL479101,Mercury,Green,Mountaineer,FR
WBA1J7C55EV051938,Volvo,Violet,V70,PL
5N1AT2ML1EC427121,Volvo,Puce,940,CN
1YVHZ8BH0B5660436,BMW,Mauv,3 Series,MA
4T1BF3EK7BU134076,Pontiac,Yellow,Grand Prix,ID
1GYS3KEF2BR588341,Jaguar,Pink,XJ Series,CN
1N4AB7APXEN555797,Toyota,Goldenrod,Tacoma,TH
5TDBW5G14DS384838,Chevrolet,Indigo,Blazer,BG
WAUWGAFC8FN687038,Daewoo,Blue,Nubira,BY
WDCYC7DF4FX445689,Hyundai,Teal,Accent,MY
1G6KD54Y71U056833,GMC,Mauv,1500,SE
JN1BJ0HR7EM667224,Mazda,Yellow,RX-8,BY
KL4CJGSB0DB147697,Chevrolet,Purple,Blazer,CN
KL4CJFSB3EB288257,BMW,Red,M5,ID
1G4GC5EC1BF592686,Mazda,Purple,Mazda6,ID
5NPEB4AC3CH558884,Acura,Yellow,TL,CN
WAUPL58E25A870897,Audi,Fuscia,80,PH
5NPEB4AC8DH807116,Ford,Goldenrod,F250,PL
2T1KU4EE4DC596332,Toyota,Puce,Yaris,ES
WBAPH5G57AN554952,Ford,Crimson,Mustang,CN
5J8TB4H55GL330306,BMW,Green,5 Series,ID
WBALL5C53FP911333,GMC,Khaki,Sonoma,CD
SCFAD22333K811958,Honda,Maroon,CR-V,RU
WA1LMAFEXBD671076,Porsche,Turquoise,944,BR
5GALRCED9AJ445785,Audi,Teal,V8,XK
3GYFNEEY7AS555250,Eagle,Yellow,Talon,ID
WVWED7AJ1DW047566,Lotus,Khaki,Elan,GN
WVGEF9BP4DD853465,Acura,Yellow,TSX,FR
1C6RD6FK3CS112315,Nissan,Green,Sentra,TH
1C4RDHEG4FC702281,GMC,Fuscia,Sierra 3500,TH
3N1AB6APXBL850742,Mercury,Teal,Cougar,EC
1FTEX1E88AF665312,Infiniti,Orange,FX,CZ
WBA6B8C59FD818643,Kia,Red,Optima,ID
19UUA65535A098580,Daewoo,Mauv,Lanos,SE
3GYFNKE62BS590177,Chrysler,Puce,Cirrus,PL
3C63D3ML4CG619201,Nissan,Indigo,Frontier,CN
JM1GJ1U52F1300696,Ford,Violet,Explorer,FI
WDDGF4HB0CF429317,GMC,Aquamarine,Safari,GE
SCFBB03C19G719773,Toyota,Teal,Tundra,FI
1G6DL8EG5A0335451,Chevrolet,Maroon,Suburban 1500,CN
3VW467ATXDM352603,Kia,Orange,Sorento,PT
2HNYD18682H156351,Buick,Turquoise,LeSabre,JP
1G4CW54K724214995,Chevrolet,Fuscia,Suburban 1500,PT
2T2BK1BA2CC438989,Aptera,Violet,Type-1h,SE
JN1AZ4EH2CM974353,Suzuki,Orange,Kizashi,ID
JTHBL1EF8E5629470,Lincoln,Pink,LS,PH
WAUFGBFB1BN047163,GMC,Maroon,2500 Club Coupe,UA
WBABD33445J171250,Porsche,Maroon,Boxster,ZA
1VWAH7A33DC895659,Lexus,Blue,IS-F,VE
WBADS43473G344788,Volkswagen,Puce,New Beetle,BR
WA1YD64B05N997740,GMC,Maroon,Rally Wagon 2500,RU
3D7TT2CT9BG934457,GMC,Maroon,Jimmy,UA
SALAB2D46AA828954,GMC,Green,3500 Club Coupe,KZ
1G4GD5GD3BF518317,Cadillac,Khaki,Seville,JP
WAUNF78P56A542905,Toyota,Blue,Matrix,CZ
1FTWX3B58AE481570,Mercedes-Benz,Red,S-Class,RU
JA4AS3AW9DU657956,Nissan,Crimson,Frontier,CN
3C3CFFAR7ET883265,GMC,Violet,Canyon,GR
5TDBK3EH0CS154048,Volkswagen,Violet,Jetta,MC
1G6DB8E50E0996487,Chevrolet,Purple,Sportvan G20,PT
WAUNF98P38A557451,Pontiac,Pink,Monterey,PL
1G6AL5SX2D0498164,GMC,Violet,Sierra 3500,CL
WAULK78K79A194939,Jensen,Teal,Interceptor,MA
WAUNF98P26A821028,Ford,Indigo,Fairlane,RU
5FRYD3H68FB758128,Daewoo,Fuscia,Leganza,FO
5J6TF2H58EL601387,Lincoln,Khaki,Continental Mark VII,JO
WAUHGBFC8CN402364,BMW,Green,550,CZ
2T1BURHE8EC725618,Buick,Indigo,LaCrosse,MX
2G4WE537X51338983,Subaru,Purple,Justy,FI
JTDKTUD3XDD833475,Ford,Maroon,Focus,JP
JH4CU2E65AC705952,Mazda,Crimson,B-Series Plus,EC
WAUDG68E15A152335,Acura,Orange,RSX,CN
JTMHY7AJ4D4834525,Dodge,Turquoise,Intrepid,YE
2C3CDXHG4CH393727,Plymouth,Puce,Breeze,UA
1G6AA5RX7E0638934,Audi,Green,A5,PH
1FMJU1G53AE720079,Hyundai,Violet,Equus,AR
WBA3C3C5XEK975143,Volvo,Green,C70,SE
WBAAW33441E970602,Lexus,Crimson,IS F,CN
JH4CL96884C085226,Mazda,Khaki,B-Series,ID
1G6DF577X80488596,Isuzu,Yellow,Axiom,IR
JTDKN3DU5A0330002,Infiniti,Red,G,VE
JH4CL96944C319838,Ford,Crimson,Fusion,AL
5FRYD3H27GB479154,Chevrolet,Pink,G-Series 1500,PH
1N6AA0CC6DN454735,Hummer,Blue,H3,SE
KMHHT6KD4BU807805,Kia,Crimson,Spectra,CN
KNAFU5A29D5532770,Jaguar,Aquamarine,XK,IE
WBAPH7C56AE921857,Toyota,Violet,T100,ID
3VWML7AJ1BM295860,GMC,Crimson,Yukon XL 1500,NL
YV1612FS7E2795629,Buick,Puce,Estate,RU
2HNYD18743H020065,Chevrolet,Khaki,Suburban 1500,JP
1GKS2GEJ3CR140268,Mitsubishi,Fuscia,Tundra,ID
WAUFFBFL7CN373093,Subaru,Goldenrod,Legacy,RU
SALWR2TF4FA844050,Porsche,Crimson,924 S,CZ
3D4PG9FG2BT524312,Toyota,Aquamarine,Avalon,CN
WBAWB7C51AP643449,Suzuki,Blue,Swift,LV
1D4PT5GK1AW751779,GMC,Purple,Savana 3500,PH
1G6AD5SX3D0962897,GMC,Blue,3500,SE
WA1LGAFE1DD970563,Honda,Green,Odyssey,UA
WAUDV74F37N207163,Audi,Blue,S4,GT
5FRYD4H69GB103189,Subaru,Violet,Legacy,UA
WBAYF8C53DD453645,Mercedes-Benz,Mauv,S-Class,RU
KMHHU6KJ0FU233728,Ferrari,Crimson,599 GTB Fiorano,XK
3C6TD5FT6CG697827,Mercury,Red,Villager,CO
19UUA56601A672869,Buick,Goldenrod,Regal,JP
1FTEX1CW0AF736830,Kia,Indigo,Sportage,ID
1G6DP1ED8B0815437,Alfa Romeo,Teal,164,JP
2G4WS52JX51204819,Pontiac,Mauv,Grand Am,PT
1C6RD6LP3CS549926,Toyota,Turquoise,Camry Hybrid,CO
1G4GA5EC6BF895534,Volvo,Crimson,XC90,CN
KNAFU6A21B5515531,BMW,Pink,525,JP
WAUWFAFL5AA118778,Dodge,Turquoise,Dynasty,IE
WBAVL1C51DV155236,Audi,Indigo,A6,TH
1GYFC53299R812704,Saturn,Turquoise,Sky,ID
JTDBT4K3XB1871533,Chevrolet,Yellow,Tahoe,PT
